cond_a,cond_b,cond_c,seed,clip,stop_epoch,RMSE,NASA,test_PDR,test_R2,test_CBR,test_RMSE_const,val_PDR,val_R2,val_CBR,val_RMSE,elapsed_s,is_collapsed
A2_per_seed,B2_from0,C1_unclipped,5,None,67,28.8234,90319.54,1.232065,0.515178,0.383392,75.1801,0.82582,0.808017,0.43812,42.9537,14.2,False
A2_per_seed,B2_from0,C1_unclipped,6,None,40,64.118,1294856.3,1e-06,-1.399113,0.852858,75.1801,0.0,-0.00833,1.0031,100.9752,8.4,True
A2_per_seed,B2_from0,C1_unclipped,7,None,19,59.7071,715111.18,1e-06,-1.080385,0.794188,75.1801,1e-06,-0.01955,0.937038,76.1429,4.2,True
A2_per_seed,B2_from0,C1_unclipped,8,None,27,64.4609,1354210.82,1e-06,-1.424841,0.857419,75.1801,1e-06,-0.003274,0.999111,104.1384,5.7,True
A2_per_seed,B2_from0,C1_unclipped,9,None,53,50.3315,239389954000.34,1.645341,-0.478326,0.669478,75.1801,0.874188,0.654459,0.587339,62.1978,11.2,False
A2_per_seed,B2_from0,C2_clip125,0,125,149,13.4538,440.03,1.019672,0.882003,0.307868,43.7,0.979589,0.909105,0.301443,12.2986,31.7,False
A2_per_seed,B2_from0,C2_clip125,1,125,112,12.0267,276.46,1.029412,0.905708,0.275211,43.7,0.986207,0.936605,0.250678,10.4208,24.3,False
A2_per_seed,B2_from0,C2_clip125,2,125,19,41.8842,36814.01,2e-06,-0.143617,0.958449,43.7,2e-06,-0.004763,0.986914,41.8619,4.1,True
A2_per_seed,B2_from0,C2_clip125,3,125,140,12.7033,329.66,1.048945,0.8948,0.290694,43.7,0.987967,0.941499,0.241867,9.8374,29.9,False
A2_per_seed,B2_from0,C2_clip125,4,125,123,13.4299,356.12,1.026377,0.882423,0.30732,43.7,0.987366,0.927875,0.268024,11.0591,26.3,False
A2_per_seed,B2_from0,C2_clip125,5,125,180,13.3265,366.33,1.022819,0.884226,0.304953,43.7,0.967705,0.935683,0.253576,10.3423,37.6,False
A2_per_seed,B2_from0,C2_clip125,6,125,126,12.5295,293.64,1.005429,0.89766,0.286715,43.7,0.952233,0.928963,0.266013,10.9732,25.9,False
A2_per_seed,B2_from0,C2_clip125,7,125,31,41.8167,36126.48,1e-06,-0.139932,0.956903,43.7,1e-06,-0.007977,0.984008,41.9725,6.3,True
A2_per_seed,B2_from0,C2_clip125,8,125,19,41.7337,35288.76,3e-06,-0.13541,0.955003,43.7,3e-06,-7e-06,0.993126,41.5344,3.9,True
A2_per_seed,B2_from0,C2_clip125,9,125,128,12.1275,301.84,1.005878,0.904122,0.277517,43.7,0.957524,0.935344,0.254251,10.3649,26.7,False
A2_per_seed,B2_from0,C3_clip100,0,100,105,9.7615,162.54,0.987518,0.908239,0.283989,34.3728,0.995893,0.923583,0.276407,8.5785,21.5,False
A2_per_seed,B2_from0,C3_clip100,1,100,105,7.9318,98.31,0.977936,0.939414,0.230759,34.3728,0.96279,0.955181,0.211056,6.7294,22.6,False
A2_per_seed,B2_from0,C3_clip100,2,100,123,7.461,88.02,0.992111,0.946394,0.21706,34.3728,0.970717,0.942747,0.236739,7.7654,26.3,False
A2_per_seed,B2_from0,C3_clip100,3,100,110,8.4714,121.64,0.964573,0.93089,0.246458,34.3728,0.953964,0.954187,0.214038,6.6113,23.5,False
A2_per_seed,B2_from0,C3_clip100,4,100,125,7.878,102.19,0.982066,0.940233,0.229194,34.3728,0.986023,0.951936,0.218926,6.9061,26.7,False
A2_per_seed,B2_from0,C3_clip100,5,100,195,8.8058,130.9,0.979393,0.925326,0.256187,34.3728,0.971162,0.958539,0.203601,6.3159,41.3,False
A2_per_seed,B2_from0,C3_clip100,6,100,147,7.4449,96.78,0.981153,0.946624,0.216592,34.3728,0.96325,0.956376,0.20858,6.5772,30.5,False
A2_per_seed,B2_from0,C3_clip100,7,100,100,9.0548,138.93,0.980703,0.921044,0.26343,34.3728,0.963646,0.928722,0.263357,8.708,21.0,False
A2_per_seed,B2_from0,C3_clip100,8,100,99,8.7109,132.54,1.018801,0.926928,0.253424,34.3728,0.99414,0.941049,0.241632,7.7687,20.7,False
A2_per_seed,B2_from0,C3_clip100,9,100,117,8.8184,140.17,0.960415,0.925114,0.25655,34.3728,0.960178,0.948006,0.228005,7.068,24.4,False
A2_per_seed,B3_warmup,C1_unclipped,0,None,82,39.3505,1801076.4,1.528114,0.096367,0.523417,75.1801,0.726856,0.636882,0.599983,68.6859,16.9,False
A2_per_seed,B3_warmup,C1_unclipped,1,None,96,40.898,4862387.97,1.506146,0.023898,0.544,75.1801,0.822788,0.708412,0.53773,52.0594,20.2,False
A2_per_seed,B3_warmup,C1_unclipped,2,None,95,33.6035,1366651.58,1.449069,0.341037,0.446974,75.1801,0.898221,0.818449,0.408358,36.2918,19.9,False
A2_per_seed,B3_warmup,C1_unclipped,3,None,69,40.5897,6865423.58,1.490114,0.038557,0.5399,75.1801,0.772817,0.767177,0.481929,50.4458,14.5,False
A2_per_seed,B3_warmup,C1_unclipped,4,None,62,41.9992,8112149.06,1.509407,-0.029373,0.558648,75.1801,0.845459,0.656516,0.585646,60.7901,12.9,False
A2_per_seed,B3_warmup,C1_unclipped,5,None,67,28.8234,90319.54,1.232065,0.515178,0.383392,75.1801,0.82582,0.808017,0.43812,42.9537,13.9,False
A2_per_seed,B3_warmup,C1_unclipped,6,None,111,31.4341,47176087.6,1.337528,0.423375,0.418117,75.1801,0.834396,0.782423,0.465961,46.9051,23.5,False
A2_per_seed,B3_warmup,C1_unclipped,7,None,106,30.2428,119115.12,1.30137,0.466255,0.402271,75.1801,1.01485,0.692984,0.514201,41.7836,22.5,False
A2_per_seed,B3_warmup,C1_unclipped,8,None,74,50.6064,50491683.97,1.666063,-0.49452,0.673135,75.1801,0.880176,0.734603,0.513869,53.5611,15.9,False
A2_per_seed,B3_warmup,C1_unclipped,9,None,53,50.3315,239389954000.34,1.645341,-0.478326,0.669478,75.1801,0.874188,0.654459,0.587339,62.1978,11.3,False
A2_per_seed,B3_warmup,C2_clip125,0,125,149,13.4538,440.03,1.019672,0.882003,0.307868,43.7,0.979589,0.909105,0.301443,12.2986,31.5,False
A2_per_seed,B3_warmup,C2_clip125,1,125,112,12.0267,276.46,1.029412,0.905708,0.275211,43.7,0.986207,0.936605,0.250678,10.4208,24.1,False
A2_per_seed,B3_warmup,C2_clip125,2,125,113,12.2053,273.88,1.020701,0.902886,0.279299,43.7,0.965293,0.914624,0.287684,12.2027,24.1,False
